  20000/300000 rows (1055 skipped)  [4s]
  40000/300000 rows (2063 skipped)  [7s]
  60000/300000 rows (3148 skipped)  [11s]
  80000/300000 rows (4227 skipped)  [15s]
  100000/300000 rows (5319 skipped)  [18s]
  120000/300000 rows (6326 skipped)  [22s]
  140000/300000 rows (7366 skipped)  [26s]
  160000/300000 rows (8442 skipped)  [29s]
  180000/300000 rows (9515 skipped)  [33s]
  200000/300000 rows (10586 skipped)  [37s]
  220000/300000 rows (11630 skipped)  [41s]
  240000/300000 rows (12667 skipped)  [45s]
  260000/300000 rows (13761 skipped)  [48s]
  280000/300000 rows (14824 skipped)  [52s]
  300000/300000 rows (15896 skipped)  [56s]
VERDICT MOVE_SELECTION rows=300000 skipped=15896 max_moves=80 -> data/derived/move_selection_v1.npz  [60s]
