  100/2000 tuples (186 tried)  [82s]
  200/2000 tuples (365 tried)  [152s]
  300/2000 tuples (561 tried)  [234s]
  400/2000 tuples (752 tried)  [304s]
  500/2000 tuples (937 tried)  [372s]
  600/2000 tuples (1118 tried)  [438s]
  700/2000 tuples (1328 tried)  [527s]
  800/2000 tuples (1545 tried)  [601s]
  900/2000 tuples (1759 tried)  [679s]
  1000/2000 tuples (1959 tried)  [760s]
  1100/2000 tuples (2169 tried)  [834s]
  1200/2000 tuples (2382 tried)  [911s]
  1300/2000 tuples (2592 tried)  [991s]
  1400/2000 tuples (2781 tried)  [1065s]
  1500/2000 tuples (3016 tried)  [1141s]
  1600/2000 tuples (3220 tried)  [1217s]
  1700/2000 tuples (3454 tried)  [1302s]
  1800/2000 tuples (3658 tried)  [1373s]
  1900/2000 tuples (3864 tried)  [1455s]
  2000/2000 tuples (4083 tried)  [1537s]
VERDICT CONTRAST_TUPLES made=2000 tried=4083 states=28000 j=6 dtm_min=8 -> data/derived/contrast_mate_tuples.npz  [1537s]
