  250/4000 anchors (500 walks, 6340 rows)  [9s]
  500/4000 anchors (1000 walks, 12592 rows)  [18s]
  750/4000 anchors (1500 walks, 18900 rows)  [28s]
  1000/4000 anchors (2000 walks, 25225 rows)  [37s]
  1250/4000 anchors (2500 walks, 31521 rows)  [46s]
  1500/4000 anchors (3000 walks, 37838 rows)  [55s]
  1750/4000 anchors (3500 walks, 44140 rows)  [64s]
  2000/4000 anchors (4000 walks, 50496 rows)  [74s]
  2250/4000 anchors (4500 walks, 56775 rows)  [83s]
  2500/4000 anchors (5000 walks, 63080 rows)  [92s]
  2750/4000 anchors (5500 walks, 69405 rows)  [101s]
  3000/4000 anchors (6000 walks, 75680 rows)  [110s]
  3250/4000 anchors (6500 walks, 82026 rows)  [118s]
  3500/4000 anchors (7000 walks, 88350 rows)  [127s]
  3750/4000 anchors (7500 walks, 94674 rows)  [135s]
  4000/4000 anchors (8000 walks, 100997 rows)  [144s]
VERDICT REGIME_ROLLOUTS anchors=4000 walks=8000 rows=100997 j=12 sf_depth=8 regimes=[2:sf_sf, 3:rand_vs_sf] -> data/shards/regime_rollouts_v1  [144s]
