[data] 824513 positions  [0s]
[tok] done  [9s]
/Users/kav/code/remote/github/catspace/experiments/train_dtm_tok.py:42: UserWarning: enable_nested_tensor is True, but self.use_nested_tensor is False because encoder_layer.norm_first was True
  self.enc = nn.TransformerEncoder(enc, num_layers=layers)
  step 0 loss 0.8672  [20s]
  step 500 loss 0.3282  [33s]
  step 1000 loss 0.2692  [44s]
  step 1500 loss 0.3277  [57s]
  step 2000 loss 0.2928  [70s]
  step 2500 loss 0.2981  [83s]
  step 3000 loss 0.3043  [95s]
  step 3500 loss 0.2815  [107s]
  step 4000 loss 0.2697  [122s]
  step 4500 loss 0.3221  [136s]
  step 5000 loss 0.2765  [154s]
  step 5500 loss 0.2583  [165s]
  step 6000 loss 0.2926  [174s]
  step 6500 loss 0.2820  [182s]
  step 7000 loss 0.3164  [190s]
  step 7500 loss 0.3033  [198s]
  step 8000 loss 0.2641  [207s]
  step 8500 loss 0.2926  [215s]
  step 9000 loss 0.2441  [223s]
  step 9500 loss 0.2729  [231s]
VERDICT DTM_TOK overall: spearman +0.688 MAE 11.41 plies (n=82451)
    class BBBKk   : spearman +0.595 MAE 5.65 (n=603)
    class BBKNk   : spearman +0.478 MAE 10.80 (n=611)
    class BBKPk   : spearman +0.428 MAE 15.27 (n=591)
    class BBKQk   : spearman +0.400 MAE 9.34 (n=611)
    class BBKRk   : spearman +0.422 MAE 6.94 (n=582)
    class BBKbk   : spearman +0.692 MAE 3.17 (n=603)
    class BBKk    : spearman +0.779 MAE 2.56 (n=609)
    class BBKkn   : spearman +0.266 MAE 18.55 (n=601)
    class BBKkp   : spearman +0.269 MAE 24.56 (n=609)
    class BBKkq   : spearman +0.662 MAE 3.18 (n=615)
    class BBKkr   : spearman +0.631 MAE 3.51 (n=570)
    class BKNNk   : spearman +0.506 MAE 8.33 (n=561)
    class BKNPk   : spearman +0.338 MAE 18.60 (n=621)
    class BKNPkr  : spearman +0.236 MAE 21.50 (n=557)
    class BKNQk   : spearman +0.477 MAE 16.24 (n=637)
    class BKNRk   : spearman +0.496 MAE 14.76 (n=590)
    class BKNbk   : spearman +0.699 MAE 5.16 (n=578)
    class BKNk    : spearman +0.662 MAE 5.96 (n=616)
    class BKNkn   : spearman +0.465 MAE 8.05 (n=612)
    class BKNkp   : spearman +0.328 MAE 25.85 (n=617)
    class BKNkq   : spearman +0.650 MAE 4.86 (n=621)
    class BKNkr   : spearman +0.658 MAE 4.84 (n=591)
    class BKPPk   : spearman +0.463 MAE 15.89 (n=623)
    class BKPQk   : spearman +0.471 MAE 14.68 (n=589)
    class BKPRk   : spearman +0.466 MAE 13.40 (n=601)
    class BKPbk   : spearman +0.509 MAE 15.42 (n=598)
    class BKPk    : spearman +0.595 MAE 13.48 (n=623)
    class BKPkn   : spearman +0.458 MAE 15.87 (n=603)
    class BKPkp   : spearman +0.438 MAE 18.08 (n=600)
    class BKPkq   : spearman +0.576 MAE 13.23 (n=577)
    class BKPkr   : spearman +0.391 MAE 15.49 (n=629)
    class BKQQk   : spearman +0.361 MAE 6.28 (n=609)
    class BKQRk   : spearman +0.499 MAE 7.13 (n=622)
    class BKQbk   : spearman +0.356 MAE 12.35 (n=617)
    class BKQk    : spearman +0.550 MAE 4.58 (n=611)
    class BKQkn   : spearman +0.252 MAE 12.69 (n=615)
    class BKQkp   : spearman +0.400 MAE 14.91 (n=581)
    class BKQkq   : spearman +0.473 MAE 5.74 (n=582)
    class BKQkr   : spearman +0.352 MAE 16.07 (n=624)
    class BKRRk   : spearman +0.544 MAE 7.25 (n=589)
    class BKRbk   : spearman +0.435 MAE 8.75 (n=633)
    class BKRk    : spearman +0.680 MAE 4.72 (n=605)
    class BKRkn   : spearman +0.349 MAE 12.99 (n=623)
    class BKRkp   : spearman +0.462 MAE 19.52 (n=590)
    class BKRkq   : spearman +0.573 MAE 5.02 (n=613)
    class BKRkr   : spearman +0.444 MAE 5.97 (n=580)
    class KNNNk   : spearman +0.778 MAE 2.73 (n=594)
    class KNNPk   : spearman +0.535 MAE 16.76 (n=601)
    class KNNQk   : spearman +0.505 MAE 5.27 (n=600)
    class KNNRk   : spearman +0.481 MAE 8.57 (n=605)
    class KNNkn   : spearman +0.359 MAE 2.23 (n=124)
    class KNNkp   : spearman +0.552 MAE 21.71 (n=629)
    class KNPPk   : spearman +0.492 MAE 13.32 (n=614)
    class KNPQk   : spearman +0.448 MAE 15.47 (n=598)
    class KNPRk   : spearman +0.409 MAE 15.05 (n=579)
    class KNPbk   : spearman +0.409 MAE 15.81 (n=591)
    class KNPk    : spearman +0.612 MAE 13.03 (n=599)
    class KNPkn   : spearman +0.445 MAE 16.82 (n=615)
    class KNPkp   : spearman +0.540 MAE 16.06 (n=577)
    class KNPkq   : spearman +0.578 MAE 13.84 (n=647)
    class KNPkr   : spearman +0.453 MAE 15.78 (n=554)
    class KNQQk   : spearman +0.404 MAE 5.74 (n=608)
    class KNQRk   : spearman +0.499 MAE 8.95 (n=588)
    class KNQbk   : spearman +0.389 MAE 14.78 (n=603)
    class KNQk    : spearman +0.497 MAE 4.31 (n=570)
    class KNQkn   : spearman +0.361 MAE 14.95 (n=581)
    class KNQkp   : spearman +0.469 MAE 16.04 (n=596)
    class KNQkq   : spearman +0.486 MAE 5.06 (n=591)
    class KNQkr   : spearman +0.377 MAE 16.51 (n=590)
    class KNRRk   : spearman +0.477 MAE 9.07 (n=609)
    class KNRbk   : spearman +0.479 MAE 8.84 (n=627)
    class KNRk    : spearman +0.566 MAE 5.96 (n=617)
    class KNRkn   : spearman +0.454 MAE 11.74 (n=581)
    class KNRkp   : spearman +0.346 MAE 20.45 (n=615)
    class KNRkq   : spearman +0.526 MAE 6.07 (n=558)
    class KNRkr   : spearman +0.494 MAE 6.44 (n=599)
    class KPPPk   : spearman +0.533 MAE 13.01 (n=607)
    class KPPQk   : spearman +0.425 MAE 13.39 (n=607)
    class KPPRk   : spearman +0.431 MAE 13.25 (n=615)
    class KPPbk   : spearman +0.424 MAE 11.11 (n=565)
    class KPPk    : spearman +0.654 MAE 8.80 (n=623)
    class KPPkn   : spearman +0.419 MAE 12.27 (n=628)
    class KPPkp   : spearman +0.486 MAE 13.90 (n=626)
    class KPPkq   : spearman +0.577 MAE 9.80 (n=588)
    class KPPkr   : spearman +0.367 MAE 13.07 (n=578)
    class KPQQk   : spearman +0.514 MAE 12.39 (n=568)
    class KPQRk   : spearman +0.522 MAE 14.46 (n=617)
    class KPQbk   : spearman +0.443 MAE 13.20 (n=580)
    class KPQk    : spearman +0.534 MAE 10.33 (n=621)
    class KPQkn   : spearman +0.449 MAE 13.19 (n=620)
    class KPQkp   : spearman +0.483 MAE 14.35 (n=590)
    class KPQkq   : spearman +0.516 MAE 11.97 (n=638)
    class KPQkr   : spearman +0.406 MAE 14.35 (n=638)
    class KPRRk   : spearman +0.487 MAE 13.95 (n=573)
    class KPRbk   : spearman +0.348 MAE 12.66 (n=576)
    class KPRk    : spearman +0.567 MAE 10.78 (n=604)
    class KPRkn   : spearman +0.378 MAE 14.20 (n=596)
    class KPRkp   : spearman +0.389 MAE 14.62 (n=598)
    class KPRkq   : spearman +0.505 MAE 10.13 (n=607)
    class KPRkr   : spearman +0.404 MAE 14.75 (n=589)
    class KPk     : spearman +0.720 MAE 7.08 (n=650)
    class KPkp    : spearman +0.477 MAE 16.14 (n=596)
    class KQQQk   : spearman +0.482 MAE 4.14 (n=588)
    class KQQRk   : spearman +0.442 MAE 7.68 (n=635)
    class KQQbk   : spearman +0.357 MAE 11.05 (n=606)
    class KQQk    : spearman +0.471 MAE 5.03 (n=608)
    class KQQkn   : spearman +0.411 MAE 11.65 (n=630)
    class KQQkp   : spearman +0.520 MAE 12.21 (n=606)
    class KQQkq   : spearman +0.406 MAE 6.35 (n=561)
    class KQQkr   : spearman +0.311 MAE 16.65 (n=624)
    class KQRRk   : spearman +0.368 MAE 9.74 (n=579)
    class KQRbk   : spearman +0.434 MAE 10.25 (n=576)
    class KQRk    : spearman +0.580 MAE 7.32 (n=614)
    class KQRkn   : spearman +0.434 MAE 12.20 (n=603)
    class KQRkp   : spearman +0.487 MAE 17.67 (n=565)
